numero;nome;LATITUDE;LONGITUDE
1;Mercado;-30,02875574;-51,22676448
2;Praca_da_Alfandega;-30,02929784;-51,23195275
3;Casa_de_Cultura_Mario_Quintana;-30,03083964;-51,23493765
4;Usina_do_Gasometro;-30,03468256;-51,24100701
5;Camara_Vereadores;-30,03742045;-51,23723329
6;Largo_Zumbi;-30,03831748;-51,22605005
7;Botafogo;-30,05401354;-51,22719869
8;Redencao UFRGS;-30,03472383;-51,21774522
9;Republica;-30,03827607;-51,22310655
10;Redencao_mercadinho;-30,03624146;-51,2108988
13;Hospital_de_Clinicas;-30,03962445;-51,20814681
11;Ginasio_Tesourinha;-30,04524807;-51,21935916
12;Shopping_Praia_de_Belas;-30,04820632;-51,22919319
15;Opiniao;-30,04194421;-51,22090839
14;Planetario;-30,04387485;-51,20728511
17;Menino_Deus;-30,05955132;-51,23074231
19;Ibere;-30,07722528;-51,24503751
18;Terminal_Azenha;-30,05001318;-51,20956076
20;Diario_de_Noticias;-30,09797511;-51,248173
22;Nacional;-30,06074719;-51,22067189
23;Harmonia;-30,03982921;-51,23721612
24;Cabral;-30,03368153;-51,20487631
25;Fernandes_Vieira;-30,03185039;-51,21081361
26;Barros_Cassal;-30,03076103;-51,21728015
27;Parcao_I;-30,02848345;-51,20049916
29;Parcao_II;-30,02599807;-51,20099193
28;Zaffari_Ipiranga;-30,04349701;-51,1998714
32;Nilopolis;-30,03893004;-51,19310978
30;Praca_da_Encol;-30,03684319;-51,18822038
34;Barra_Shopping;-30,08250679;-51,24714761
39;Icarai;-30,0838935;-51,24045508
31;Santana;-30,03971752;-51,21393052
33;Julinho;-30,04401832;-51,21386745
35;Escola_Parobe;-30,03754539;-51,23136353
36;Regiao_dos_Tribunais;-30,0429559;-51,22891422
40;Praca_da_Matriz;-30,03243692;-51,23047102
37;Casa_do_Estudante;-30,03251523;-51,22320535
38;Getulio_Vargas;-30,05440643;-51,22229937
